,trip_date,time_indicator,trips,Day,Weekday ,Holiday ,Month,Season
10,12/2/19,AM Period,11664,TUESDAY,WEEKDAY,1,2,Spring
161,12/2/19,Night,9254,TUESDAY,WEEKDAY,1,2,Spring
773,12/2/19,Lunch Period,10369,TUESDAY,WEEKDAY,1,2,Spring
1053,12/2/19,PM Period,20641,TUESDAY,WEEKDAY,1,2,Spring
108,13/2/19,AM Period,12854,WEDNESDAY,WEEKDAY,0,2,Spring
1000,13/2/19,Lunch Period,11721,WEDNESDAY,WEEKDAY,0,2,Spring
1050,13/2/19,PM Period,21644,WEDNESDAY,WEEKDAY,0,2,Spring
1351,13/2/19,Night,9110,WEDNESDAY,WEEKDAY,0,2,Spring
374,14/2/19,Night,9508,THURSDAY,WEEKDAY,0,2,Spring
421,14/2/19,AM Period,10585,THURSDAY,WEEKDAY,0,2,Spring
771,14/2/19,Lunch Period,11011,THURSDAY,WEEKDAY,0,2,Spring
1049,14/2/19,PM Period,21182,THURSDAY,WEEKDAY,0,2,Spring
5,15/2/19,AM Period,11564,FRIDAY,WEEKDAY,0,2,Spring
168,15/2/19,Lunch Period,11662,FRIDAY,WEEKDAY,0,2,Spring
267,15/2/19,PM Period,22849,FRIDAY,WEEKDAY,0,2,Spring
1039,15/2/19,Night,10828,FRIDAY,WEEKDAY,0,2,Spring
71,16/2/19,Lunch Period,5911,SATURDAY,WEEKEND,0,2,Spring
623,16/2/19,PM Period,13440,SATURDAY,WEEKEND,0,2,Spring
725,16/2/19,AM Period,3800,SATURDAY,WEEKEND,0,2,Spring
728,16/2/19,Night,13725,SATURDAY,WEEKEND,0,2,Spring
422,17/2/19,Night,12597,SUNDAY,WEEKEND,0,2,Spring
436,17/2/19,AM Period,3967,SUNDAY,WEEKEND,0,2,Spring
1243,17/2/19,PM Period,9091,SUNDAY,WEEKEND,0,2,Spring
1417,17/2/19,Lunch Period,5062,SUNDAY,WEEKEND,0,2,Spring
269,18/2/19,AM Period,8032,MONDAY,WEEKDAY,1,2,Spring
670,18/2/19,Night,8178,MONDAY,WEEKDAY,1,2,Spring
677,18/2/19,PM Period,13612,MONDAY,WEEKDAY,1,2,Spring
1002,18/2/19,Lunch Period,7547,MONDAY,WEEKDAY,1,2,Spring
268,19/2/19,AM Period,12056,TUESDAY,WEEKDAY,0,2,Spring
824,19/2/19,PM Period,20057,TUESDAY,WEEKDAY,0,2,Spring
1058,19/2/19,Lunch Period,10393,TUESDAY,WEEKDAY,0,2,Spring
1159,19/2/19,Night,8215,TUESDAY,WEEKDAY,0,2,Spring
62,20/2/19,Night,9435,WEDNESDAY,WEEKDAY,0,2,Spring
517,20/2/19,PM Period,22255,WEDNESDAY,WEEKDAY,0,2,Spring
827,20/2/19,AM Period,12879,WEDNESDAY,WEEKDAY,0,2,Spring
1160,20/2/19,Lunch Period,11715,WEDNESDAY,WEEKDAY,0,2,Spring
996,21/2/19,Lunch Period,11736,THURSDAY,WEEKDAY,0,2,Spring
1155,21/2/19,AM Period,13076,THURSDAY,WEEKDAY,0,2,Spring
1246,21/2/19,PM Period,24166,THURSDAY,WEEKDAY,0,2,Spring
1304,21/2/19,Night,11977,THURSDAY,WEEKDAY,0,2,Spring
262,22/2/19,PM Period,24779,FRIDAY,WEEKDAY,0,2,Spring
266,22/2/19,AM Period,11937,FRIDAY,WEEKDAY,0,2,Spring
1350,22/2/19,Night,13262,FRIDAY,WEEKDAY,0,2,Spring
1357,22/2/19,Lunch Period,12031,FRIDAY,WEEKDAY,0,2,Spring
272,23/2/19,Lunch Period,7610,SATURDAY,WEEKEND,0,2,Spring
531,23/2/19,AM Period,5105,SATURDAY,WEEKEND,0,2,Spring
730,23/2/19,PM Period,14097,SATURDAY,WEEKEND,0,2,Spring
1311,23/2/19,Night,14411,SATURDAY,WEEKEND,0,2,Spring
253,24/2/19,PM Period,8955,SUNDAY,WEEKEND,0,2,Spring
256,24/2/19,Night,11760,SUNDAY,WEEKEND,0,2,Spring
662,24/2/19,Lunch Period,5241,SUNDAY,WEEKEND,0,2,Spring
1253,24/2/19,AM Period,4284,SUNDAY,WEEKEND,0,2,Spring
327,25/2/19,AM Period,12164,MONDAY,WEEKDAY,0,2,Spring
892,25/2/19,Night,7446,MONDAY,WEEKDAY,0,2,Spring
1151,25/2/19,PM Period,18904,MONDAY,WEEKDAY,0,2,Spring
1423,25/2/19,Lunch Period,9962,MONDAY,WEEKDAY,0,2,Spring
212,26/2/19,PM Period,21073,TUESDAY,WEEKDAY,0,2,Spring
265,26/2/19,AM Period,12194,TUESDAY,WEEKDAY,0,2,Spring
324,26/2/19,Lunch Period,10831,TUESDAY,WEEKDAY,0,2,Spring
580,26/2/19,Night,8760,TUESDAY,WEEKDAY,0,2,Spring
216,27/2/19,Night,9480,WEDNESDAY,WEEKDAY,0,2,Spring
828,27/2/19,Lunch Period,11313,WEDNESDAY,WEEKDAY,0,2,Spring
999,27/2/19,AM Period,12324,WEDNESDAY,WEEKDAY,0,2,Spring
1102,27/2/19,PM Period,22121,WEDNESDAY,WEEKDAY,0,2,Spring
325,28/2/19,PM Period,24311,THURSDAY,WEEKDAY,0,2,Spring
377,28/2/19,AM Period,12420,THURSDAY,WEEKDAY,0,2,Spring
523,28/2/19,Night,10595,THURSDAY,WEEKDAY,0,2,Spring
671,28/2/19,Lunch Period,12228,THURSDAY,WEEKDAY,0,2,Spring
54,1/3/19,Lunch Period,12578,FRIDAY,WEEKDAY,0,3,Spring
162,1/3/19,Night,11889,FRIDAY,WEEKDAY,0,3,Spring
373,1/3/19,PM Period,24266,FRIDAY,WEEKDAY,0,3,Spring
1411,1/3/19,AM Period,11445,FRIDAY,WEEKDAY,0,3,Spring
213,2/3/19,Night,14065,SATURDAY,WEEKEND,0,3,Spring
214,2/3/19,Lunch Period,5870,SATURDAY,WEEKEND,0,3,Spring
775,2/3/19,PM Period,13605,SATURDAY,WEEKEND,0,3,Spring
1101,2/3/19,AM Period,5159,SATURDAY,WEEKEND,0,3,Spring
379,3/3/19,Lunch Period,5872,SUNDAY,WEEKEND,0,3,Spring
481,3/3/19,AM Period,5508,SUNDAY,WEEKEND,0,3,Spring
666,3/3/19,Night,13282,SUNDAY,WEEKEND,0,3,Spring
1059,3/3/19,PM Period,11998,SUNDAY,WEEKEND,0,3,Spring
1051,4/3/19,Lunch Period,11505,MONDAY,WEEKDAY,1,3,Spring
1152,4/3/19,Night,9390,MONDAY,WEEKDAY,1,3,Spring
1309,4/3/19,AM Period,13815,MONDAY,WEEKDAY,1,3,Spring
1414,4/3/19,PM Period,23099,MONDAY,WEEKDAY,1,3,Spring
59,5/3/19,Lunch Period,12682,TUESDAY,WEEKDAY,0,3,Spring
319,5/3/19,AM Period,14017,TUESDAY,WEEKDAY,0,3,Spring
664,5/3/19,PM Period,23802,TUESDAY,WEEKDAY,0,3,Spring
1303,5/3/19,Night,9735,TUESDAY,WEEKDAY,0,3,Spring
63,6/3/19,AM Period,13209,WEDNESDAY,WEEKDAY,0,3,Spring
424,6/3/19,Lunch Period,11949,WEDNESDAY,WEEKDAY,0,3,Spring
621,6/3/19,PM Period,22552,WEDNESDAY,WEEKDAY,0,3,Spring
889,6/3/19,Night,9773,WEDNESDAY,WEEKDAY,0,3,Spring
378,7/3/19,Lunch Period,12185,THURSDAY,WEEKDAY,0,3,Spring
1245,7/3/19,Night,11009,THURSDAY,WEEKDAY,0,3,Spring
1248,7/3/19,PM Period,23622,THURSDAY,WEEKDAY,0,3,Spring
