"","X.1","X","ï..","trip_date","time_indicator","trips","Weekday","Holiday","Season","Day_of_Week","Month","taxi_id","Distance"
"114",114,114,259,"2019-01-29","Lunch Period",9259,"WEEKDAY",0,"Winter","Tue","Jan",2409,44950.416
"115",115,115,441,"2019-01-29","PM Period",17767,"WEEKDAY",0,"Winter","Tue","Jan",3038,86266.176
"116",116,116,1252,"2019-01-29","AM Period",11534,"WEEKDAY",0,"Winter","Tue","Jan",2114,51612.544
"117",117,117,68,"2019-01-30","Lunch Period",2493,"WEEKDAY",0,"Winter","Wed","Jan",1107,20324.16
"118",118,118,484,"2019-01-30","Night",2698,"WEEKDAY",0,"Winter","Wed","Jan",887,23843.696
"119",119,119,1156,"2019-01-30","AM Period",3721,"WEEKDAY",0,"Winter","Wed","Jan",1013,22872.816
"120",120,120,1174,"2019-01-30","PM Period",5117,"WEEKDAY",0,"Winter","Wed","Jan",1345,38102.576
"121",121,121,77,"2019-01-31","Lunch Period",5375,"WEEKDAY",0,"Winter","Thu","Jan",1735,36472.4
"122",122,122,619,"2019-01-31","PM Period",11923,"WEEKDAY",0,"Winter","Thu","Jan",2541,76850.144
"123",123,123,1352,"2019-01-31","Night",5276,"WEEKDAY",0,"Winter","Thu","Jan",1588,46239.408
"124",124,124,1422,"2019-01-31","AM Period",5993,"WEEKDAY",0,"Winter","Thu","Jan",1290,31115.616
"125",125,125,110,"2019-02-01","Lunch Period",10413,"WEEKDAY",0,"Winter","Fri","Feb",2478,52899.104
"126",126,126,160,"2019-02-01","PM Period",20668,"WEEKDAY",0,"Winter","Fri","Feb",3190,106046.32
"127",127,127,521,"2019-02-01","AM Period",11360,"WEEKDAY",0,"Winter","Fri","Feb",1991,58769.728
"128",128,128,890,"2019-02-01","Night",9328,"WEEKDAY",0,"Winter","Fri","Feb",2302,62600.016
"129",129,129,375,"2019-02-02","Night",11143,"WEEKEND",0,"Winter","Sat","Feb",1792,45105.488
"130",130,130,724,"2019-02-02","PM Period",9603,"WEEKEND",0,"Winter","Sat","Feb",2335,47554.944
"131",131,131,1202,"2019-02-02","Lunch Period",4618,"WEEKEND",0,"Winter","Sat","Feb",1508,22613.04
"132",132,132,1420,"2019-02-02","AM Period",3622,"WEEKEND",0,"Winter","Sat","Feb",1110,21162.832
"133",133,133,15,"2019-02-03","Night",10642,"WEEKEND",0,"Winter","Sun","Feb",1728,52958.016
"134",134,134,158,"2019-02-03","PM Period",7132,"WEEKEND",0,"Winter","Sun","Feb",2093,63451.024
"135",135,135,772,"2019-02-03","Lunch Period",3566,"WEEKEND",0,"Winter","Sun","Feb",1396,24085.264
"136",136,136,1203,"2019-02-03","AM Period",3277,"WEEKEND",0,"Winter","Sun","Feb",1195,23221.04
"137",137,137,156,"2019-02-04","Lunch Period",9275,"WEEKDAY",0,"Winter","Mon","Feb",2578,53268.08
"138",138,138,617,"2019-02-04","AM Period",10952,"WEEKDAY",0,"Winter","Mon","Feb",2280,63482.208
"139",139,139,631,"2019-02-04","Night",7134,"WEEKDAY",0,"Winter","Mon","Feb",1997,51718.56
"140",140,140,1038,"2019-02-04","PM Period",17752,"WEEKDAY",0,"Winter","Mon","Feb",3159,98980.384
"141",141,141,167,"2019-02-05","Night",7385,"WEEKDAY",0,"Winter","Tue","Feb",1881,44621.216
"142",142,142,270,"2019-02-05","PM Period",19661,"WEEKDAY",0,"Winter","Tue","Feb",3196,96818.832
"143",143,143,723,"2019-02-05","AM Period",11465,"WEEKDAY",0,"Winter","Tue","Feb",2234,52164.8
"144",144,144,1416,"2019-02-05","Lunch Period",10459,"WEEKDAY",0,"Winter","Tue","Feb",2473,49129.552
"145",145,145,527,"2019-02-06","Lunch Period",10568,"WEEKDAY",0,"Winter","Wed","Feb",2529,51974.384
"146",146,146,1154,"2019-02-06","Night",8947,"WEEKDAY",0,"Winter","Wed","Feb",2193,60456.8
"147",147,147,1157,"2019-02-06","PM Period",20017,"WEEKDAY",0,"Winter","Wed","Feb",3258,103938.752
"148",148,148,1258,"2019-02-06","AM Period",11419,"WEEKDAY",0,"Winter","Wed","Feb",2153,53629.472
"149",149,149,153,"2019-02-07","Night",11315,"WEEKDAY",0,"Winter","Thu","Feb",2416,84536.48
"150",150,150,825,"2019-02-07","AM Period",12482,"WEEKDAY",0,"Winter","Thu","Feb",2221,54511.232
"151",151,151,830,"2019-02-07","Lunch Period",11982,"WEEKDAY",0,"Winter","Thu","Feb",2608,55017.552
"152",152,152,1048,"2019-02-07","PM Period",22825,"WEEKDAY",0,"Winter","Thu","Feb",3360,127424.528
"153",153,153,264,"2019-02-08","Night",10592,"WEEKDAY",0,"Winter","Fri","Feb",2421,62364.64
"154",154,154,321,"2019-02-08","Lunch Period",11844,"WEEKDAY",0,"Winter","Fri","Feb",2599,56914.08
"155",155,155,955,"2019-02-08","AM Period",12726,"WEEKDAY",0,"Winter","Fri","Feb",2140,58170.56
"156",156,156,1354,"2019-02-08","PM Period",23546,"WEEKDAY",0,"Winter","Fri","Feb",3337,112622.032
"157",157,157,832,"2019-02-09","PM Period",11447,"WEEKEND",0,"Winter","Sat","Feb",2407,52686.944
"158",158,158,891,"2019-02-09","Night",11907,"WEEKEND",0,"Winter","Sat","Feb",1915,49699.312
"159",159,159,1046,"2019-02-09","Lunch Period",5224,"WEEKEND",0,"Winter","Sat","Feb",1503,25542.88
"160",160,160,1306,"2019-02-09","AM Period",3753,"WEEKEND",0,"Winter","Sat","Feb",1130,23492.72
"161",161,161,57,"2019-02-10","PM Period",7407,"WEEKEND",0,"Winter","Sun","Feb",2061,57105.84
"162",162,162,433,"2019-02-10","Lunch Period",4405,"WEEKEND",0,"Winter","Sun","Feb",1528,28107.056
"163",163,163,941,"2019-02-10","Night",11103,"WEEKEND",0,"Winter","Sun","Feb",1872,73265.648
"164",164,164,1353,"2019-02-10","AM Period",3648,"WEEKEND",0,"Winter","Sun","Feb",1177,24748.864
"165",165,165,70,"2019-02-11","AM Period",11111,"WEEKDAY",0,"Winter","Mon","Feb",2303,61733.936
"166",166,166,435,"2019-02-11","Lunch Period",9778,"WEEKDAY",0,"Winter","Mon","Feb",2583,54684.832
"167",167,167,483,"2019-02-11","PM Period",18573,"WEEKDAY",0,"Winter","Mon","Feb",3223,97561.184
"168",168,168,994,"2019-02-11","Night",7742,"WEEKDAY",0,"Winter","Mon","Feb",2031,52241.072
"169",169,169,10,"2019-02-12","AM Period",11664,"WEEKDAY",1,"Winter","Tue","Feb",2107,51749.648
"170",170,170,161,"2019-02-12","Night",9254,"WEEKDAY",1,"Winter","Tue","Feb",2105,67565.808
"171",171,171,773,"2019-02-12","Lunch Period",10369,"WEEKDAY",1,"Winter","Tue","Feb",2441,45476.352
"172",172,172,1053,"2019-02-12","PM Period",20641,"WEEKDAY",1,"Winter","Tue","Feb",3139,90744.832
"173",173,173,108,"2019-02-13","AM Period",12854,"WEEKDAY",0,"Winter","Wed","Feb",2165,54964.128
"174",174,174,1000,"2019-02-13","Lunch Period",11721,"WEEKDAY",0,"Winter","Wed","Feb",2506,54036.688
"175",175,175,1050,"2019-02-13","PM Period",21644,"WEEKDAY",0,"Winter","Wed","Feb",3275,104590.24
"176",176,176,1351,"2019-02-13","Night",9110,"WEEKDAY",0,"Winter","Wed","Feb",2231,60041.952
"177",177,177,374,"2019-02-14","Night",9508,"WEEKDAY",0,"Winter","Thu","Feb",2313,62878.736
"178",178,178,421,"2019-02-14","AM Period",10585,"WEEKDAY",0,"Winter","Thu","Feb",2128,46959.232
"179",179,179,771,"2019-02-14","Lunch Period",11011,"WEEKDAY",0,"Winter","Thu","Feb",2580,51784.72
"180",180,180,1049,"2019-02-14","PM Period",21182,"WEEKDAY",0,"Winter","Thu","Feb",3346,113756.56
"181",181,181,5,"2019-02-15","AM Period",11564,"WEEKDAY",0,"Winter","Fri","Feb",2140,50669.344
"182",182,182,168,"2019-02-15","Lunch Period",11662,"WEEKDAY",0,"Winter","Fri","Feb",2602,51899.552
"183",183,183,267,"2019-02-15","PM Period",22849,"WEEKDAY",0,"Winter","Fri","Feb",3353,106711.52
"184",184,184,1039,"2019-02-15","Night",10828,"WEEKDAY",0,"Winter","Fri","Feb",2388,58654.864
"185",185,185,71,"2019-02-16","Lunch Period",5911,"WEEKEND",0,"Winter","Sat","Feb",1632,29661.712
"186",186,186,623,"2019-02-16","PM Period",13440,"WEEKEND",0,"Winter","Sat","Feb",2482,59013.168
