,dropoff_community_area,dropoff_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
276,37,FULLER PARK,22,Weekdays,39.85491117,105,0.905172414
277,6,LAKE VIEW,12,Weekend/Holidays,23.07519916,8090,69.74137931
278,57,ARCHER HEIGHTS,16,Weekend/Holidays,30.17398712,35,0.301724138
279,1,ROGERS PARK,0,Weekend/Holidays,27.24233086,1476,12.72413793
280,6,LAKE VIEW,5,Weekend/Holidays,25.25641046,4040,34.82758621
281,3,UPTOWN,22,Weekdays,26.13576648,7993,68.90517241
282,2,WEST RIDGE,6,Weekend/Holidays,21.57650645,502,4.327586207
283,32,LOOP,4,Weekend/Holidays,20.3928525,5639,48.61206897
284,77,EDGEWATER,11,Weekdays,25.21097749,4700,40.51724138
285,23,HUMBOLDT PARK,9,Weekdays,22.07068666,548,4.724137931
286,16,IRVING PARK,21,Weekdays,28.89770985,3703,31.92241379
287,13,NORTH PARK,15,Weekdays,18.93579396,1133,9.767241379
288,24,WEST TOWN,9,Weekend/Holidays,32.24479682,1928,16.62068966
289,4,LINCOLN SQUARE,8,Weekdays,20.09684253,2298,19.81034483
290,4,LINCOLN SQUARE,20,Weekend/Holidays,27.14739753,1231,10.61206897
291,22,LOGAN SQUARE,10,Weekend/Holidays,29.55557846,1093,9.422413793
292,48,CALUMET HEIGHTS,10,Weekdays,16.90447631,342,2.948275862
293,43,SOUTH SHORE,17,Weekend/Holidays,29.6076851,248,2.137931034
294,77,EDGEWATER,6,Weekend/Holidays,25.76330285,864,7.448275862
295,1,ROGERS PARK,14,Weekend/Holidays,22.88199305,1016,8.75862069
296,4,LINCOLN SQUARE,18,Weekend/Holidays,24.32444397,1410,12.15517241
297,50,PULLMAN,9,Weekend/Holidays,37.00777059,65,0.560344828
298,59,MCKINLEY PARK,14,Weekdays,7.869970274,2364,20.37931034
299,3,UPTOWN,23,Weekend/Holidays,27.44578711,3477,29.97413793
300,76,OHARE,8,Weekend/Holidays,50.82788792,7129,61.45689655
301,5,NORTH CENTER,12,Weekend/Holidays,27.48605253,935,8.060344828
302,4,LINCOLN SQUARE,22,Weekdays,28.29230583,3838,33.0862069
303,4,LINCOLN SQUARE,4,Weekend/Holidays,22.05301699,728,6.275862069
304,41,HYDE PARK,11,Weekdays,35.74234858,4543,39.1637931
305,49,ROSELAND,10,Weekend/Holidays,39.0730478,207,1.784482759
306,66,CHICAGO LAWN,15,Weekdays,21.04238382,233,2.00862069
307,23,HUMBOLDT PARK,11,Weekdays,22.29954144,619,5.336206897
308,24,WEST TOWN,8,Weekdays,18.95032078,5732,49.4137931
309,71,AUBURN GRESHAM,9,Weekend/Holidays,30.75319231,161,1.387931034
310,15,PORTAGE PARK,0,Weekdays,26.19106805,959,8.267241379
311,58,BRIGHTON PARK,13,Weekdays,25.06482105,251,2.163793103
312,3,UPTOWN,13,Weekdays,22.26449588,6479,55.85344828
313,23,HUMBOLDT PARK,8,Weekdays,17.6133881,410,3.534482759
314,12,FOREST GLEN,23,Weekend/Holidays,38.4346872,174,1.5
315,19,BELMONT CRAGIN,20,Weekdays,24.00439017,458,3.948275862
316,19,BELMONT CRAGIN,13,Weekdays,21.88820233,491,4.232758621
317,41,HYDE PARK,8,Weekdays,31.90043338,2618,22.56896552
318,3,UPTOWN,15,Weekend/Holidays,22.87185539,2775,23.92241379
319,31,LOWER WEST SIDE,16,Weekdays,18.34694428,1648,14.20689655
320,35,DOUGLAS,17,Weekend/Holidays,25.49073972,754,6.5
321,5,NORTH CENTER,20,Weekend/Holidays,32.31128886,1562,13.46551724
322,57,ARCHER HEIGHTS,8,Weekend/Holidays,41.15575012,22,0.189655172
323,56,GARFIELD RIDGE,9,Weekdays,35.71445362,5775,49.78448276
324,56,GARFIELD RIDGE,1,Weekdays,21.08584516,457,3.939655172
325,4,LINCOLN SQUARE,3,Weekdays,21.78969431,678,5.844827586
326,56,GARFIELD RIDGE,21,Weekend/Holidays,19.88976018,642,5.534482759
327,34,ARMOUR SQUARE,17,Weekdays,19.67637507,2332,20.10344828
328,76,OHARE,11,Weekend/Holidays,39.8282296,9209,79.38793103
329,34,ARMOUR SQUARE,9,Weekend/Holidays,38.63576055,315,2.715517241
330,68,ENGLEWOOD,14,Weekdays,27.17829111,457,3.939655172
331,70,ASHBURN,14,Weekdays,20.63901771,380,3.275862069
332,3,UPTOWN,12,Weekdays,24.07419963,6183,53.30172414
333,13,NORTH PARK,3,Weekdays,8.028986809,223,1.922413793
334,1,ROGERS PARK,2,Weekdays,25.03677712,1540,13.27586207
335,76,OHARE,5,Weekend/Holidays,51.61115738,6386,55.05172414
336,76,OHARE,20,Weekend/Holidays,24.643811,3627,31.26724138
337,23,HUMBOLDT PARK,5,Weekend/Holidays,20.51623681,316,2.724137931
