,pickup_community_area,pickup area ,dropoff_community_area,dropoff area,trip_indicator,avg_km,avg_tm,avg_fares,avg_tolls,avg_tips,avg_extras,avg_total_fares,trips
159,3,Uptown,3,Uptown,Intra-Area,1.422483113,7.651062239,6.712364673,0.002319582,0.427164907,0.570510525,7.778040712,46129
160,3,Uptown,71,Auburn Gresham,Inter-Area,27.560624,44.81022222,45.68333333,0,0.7048,0.126666667,46.54146667,75
161,3,Uptown,37,Fuller Park,Inter-Area,20.56699057,26.8509434,33.5990566,0,0.352830189,0.047169811,34.01792453,53
162,3,Uptown,69,Greater Grand Crossing,Inter-Area,23.24696016,40.11558266,42.33536585,0,0.008211382,0.325203252,42.67284553,123
163,3,Uptown,38,Grand Boulevard,Inter-Area,12.95462568,38.29842342,28.75,0,0.593918919,0.054054054,29.41824324,74
164,3,Uptown,17,Dunning,Inter-Area,13.4816681,40.50991379,26.89224138,0,0.853448276,0.25862069,28.03448276,116
165,3,Uptown,18,Montclare,Inter-Area,15.7941,40.00789474,31.5,0,0.578947368,0.052631579,32.15789474,19
166,3,Uptown,64,Clearing,Inter-Area,23.18706667,35.86984127,43.29761905,0,4.89,4.214285714,52.70904762,21
167,3,Uptown,41,Hyde Park,Inter-Area,19.03505109,34.77176128,36.85371179,0,2.322707424,0.189956332,39.50676856,229
168,3,Uptown,76,O'Hare,Inter-Area,18.75715674,41.99199423,37.52417058,0.012360939,3.770044499,0.4815822,41.96747837,4045
169,3,Uptown,46,South Chicago,Inter-Area,26.04816271,38.79830508,43.93644068,0,0.412711864,0.288135593,44.63728814,59
170,3,Uptown,34,Armour Square,Inter-Area,17.06270082,25.7273224,30.34836066,0,1.174180328,0.5,32.11639344,122
171,3,Uptown,61,New City,Inter-Area,19.14216818,33.40606061,33.04545455,0,0.8275,0.125,34.03204545,44
172,3,Uptown,57,Archer Heights,Inter-Area,25.8626375,32.88958333,41.25,0,1.28125,0,42.59375,8
173,3,Uptown,43,South Shore,Inter-Area,22.44689713,34.94084699,39.16598361,0,0.28057377,0.088114754,39.55106557,244
174,3,Uptown,49,Roseland,Inter-Area,30.59577706,42.10872549,48.88676471,0,0.059941176,0.147058824,49.10258824,170
175,3,Uptown,32,Loop,Inter-Area,9.235233181,22.22875924,20.04949246,0,1.766734029,0.174321103,22.16745204,10738
176,3,Uptown,53,West Pullman,Inter-Area,32.00725352,59.75798122,52.81690141,0,0,0.169014085,52.98591549,71
177,3,Uptown,21,Avondale,Inter-Area,6.150441379,21.53093453,16.34857571,0,0.936086957,0.189655172,17.55197901,667
178,3,Uptown,62,West Elsdon,Inter-Area,24.4860875,41.97083333,45.4375,0,1.36875,0,46.86875,8
179,3,Uptown,55,Hegewisch,Inter-Area,2.576,53,64,0,0,0,64,1
180,3,Uptown,50,Pullman,Inter-Area,33.58281111,39.32407407,52.25,0,0,0,52.25,9
181,3,Uptown,29,North Lawndale,Inter-Area,16.86714324,34.64707207,32.76689189,0,1.094864865,0.067567568,33.96986486,74
182,3,Uptown,8,Near North Side,Inter-Area,7.507315882,16.69183748,17.19506943,0,1.257451732,0.27358503,18.84552235,15124
183,3,Uptown,19,Belmont Cragin,Inter-Area,12.25535833,35.27876984,26.06547619,0,0.346547619,0.181547619,26.6322619,168
184,3,Uptown,77,Edgewater,Inter-Area,2.100561148,9.039020995,7.634668523,0,0.392172473,0.205637746,8.287734969,13289
185,3,Uptown,28,Near West Side,Inter-Area,10.69585198,26.05479904,23.33871026,0,1.759256149,0.221355729,25.46237852,3334
186,3,Uptown,12,Forest Glen,Inter-Area,8.009670297,26.62310231,20.27722772,0,0.914059406,0.155940594,21.42643564,202
187,3,Uptown,1,Rogers Park,Inter-Area,4.407158849,15.67381001,11.97218267,0,0.491604963,0.170056957,12.69381204,4916
188,3,Uptown,23,Humboldt Park,Inter-Area,11.77230221,31.04493554,25.36740331,0,0.768066298,0.209944751,26.4059116,181
189,3,Uptown,75,Morgan Park,Inter-Area,36.80629474,48.98947368,57.27631579,0,0,0.105263158,57.38157895,19
190,3,Uptown,24,West Town,Inter-Area,8.976585097,24.85938213,20.28262243,0,1.587577672,0.443470247,22.47780937,1899
191,3,Uptown,42,Woodlawn,Inter-Area,20.61233462,32.61367521,38.13782051,0,0.605384615,0.080128205,38.85538462,156
192,3,Uptown,52,East Side,Inter-Area,34.498275,40.89583333,54,0,0,0,54,4
193,3,Uptown,73,Washington Heights,Inter-Area,29.145025,46.17840909,47.84090909,0,0.235227273,0.045454545,48.13295455,44
194,3,Uptown,7,Lincoln Park,Inter-Area,5.130432014,16.39496217,14.42623218,0,0.724486845,0.279313115,15.52279173,4979
195,3,Uptown,13,North Park,Inter-Area,5.529612892,21.70269076,14.49879518,0,0.605614458,0.178313253,15.34898795,830
196,3,Uptown,30,South Lawndale,Inter-Area,19.61100149,35.42810945,38.44029851,0,1.401492537,0.298507463,40.21492537,67
197,3,Uptown,67,West Englewood,Inter-Area,24.97772941,41.63284314,44.33823529,0,0,0,44.33823529,34
198,3,Uptown,74,Mount Greenwood,Inter-Area,34.6817,64.02142857,54.96428571,0,0,0,54.96428571,7
199,3,Uptown,65,West Lawn,Inter-Area,23.77165,43.73333333,49.875,0,0.77,0.625,51.27,4
200,3,Uptown,25,Austin,Inter-Area,18.63771341,39.29400407,34.12804878,0,0.568841463,0.140243902,34.86762195,164
201,3,Uptown,9,Edison Park,Inter-Area,11.10005556,29.02962963,27.11111111,0,2.252222222,1.055555556,30.53,9
202,3,Uptown,59,McKinley Park,Inter-Area,17.3627,40.2468254,37.14285714,0,1.404761905,0.785714286,39.35714286,21
203,3,Uptown,58,Brighton Park,Inter-Area,19.3494,31.81014493,39.41304348,0,0.92826087,0.326086957,40.68913043,23
204,3,Uptown,51,South Deering,Inter-Area,29.52688065,64.67096774,47.25,0,0.161290323,0,47.41129032,31
205,3,Uptown,70,Ashburn,Inter-Area,29.2733,50.58188406,49.5326087,0,0,0,49.5326087,23
206,3,Uptown,14,Albany Park,Inter-Area,4.458670476,15.68034769,12.14988662,0,0.289487528,0.259433107,12.73583673,2205
207,3,Uptown,31,Lower West Side,Inter-Area,15.7215,29.07401656,31.40217391,0,1.172919255,0.444099379,33.08440994,161
208,3,Uptown,15,Portage Park,Inter-Area,9.096986146,30.15834813,20.71758437,0,0.664937833,0.158081705,21.59912966,563
209,3,Uptown,68,Englewood,Inter-Area,23.91324744,35.47884615,40.39423077,0,0,0.012820513,40.40705128,78
210,3,Uptown,40,Washington Park,Inter-Area,16.07125,32.36785714,39.63392857,0,0,0.214285714,39.84821429,28
211,3,Uptown,2,West Ridge,Inter-Area,4.871717829,21.72503651,13.27150657,0,0.340519043,0.181257162,13.85516346,2967
212,3,Uptown,11,Jefferson Park,Inter-Area,11.77843723,34.68273667,24.96420048,0,1.870739857,0.544152745,27.50642005,419
213,3,Uptown,33,Near South Side,Inter-Area,12.09365244,24.14372459,25.19169207,0,1.769222561,0.391768293,27.5013872,656
214,3,Uptown,27,East Garfield Park,Inter-Area,9.790226582,37.28776371,20.71202532,0,0.24664557,0.060126582,21.03778481,158
215,3,Uptown,20,Hermosa,Inter-Area,8.76762233,28.35631068,21.69174757,0,0.121601942,0.087572816,21.90820388,206
216,3,Uptown,35,Douglas,Inter-Area,15.46363121,32.7743738,30.16618497,0,0.756242775,0.12716763,31.09872832,173
217,3,Uptown,56,Garfield Ridge,Inter-Area,24.65111504,38.81310577,45.75442478,0,4.353489254,0.482932996,50.76752212,791
218,3,Uptown,60,Bridgeport,Inter-Area,18.39944355,26.02123656,31.60483871,0,1.404032258,0.306451613,33.39596774,62
219,3,Uptown,47,Burnside,Inter-Area,30.25726667,40.14166667,48.125,0,0,0,48.125,6
