,date,median_downtime,company,day,weekday,time_bin,month,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab
87,2019-01-22,30.0,Blue Ribbon Taxi Association Inc.,1,1,4,1,Winter,0,12.351139601139602,90,3.9,48.169444444444444
88,2019-01-23,15.0,Blue Ribbon Taxi Association Inc.,2,1,1,1,Winter,0,10.63892230576441,77,5.181818181818182,55.128961038961044
89,2019-01-23,15.0,Blue Ribbon Taxi Association Inc.,2,1,2,1,Winter,0,10.295454545454545,83,3.9759036144578315,40.933734939759034
90,2019-01-23,15.0,Blue Ribbon Taxi Association Inc.,2,1,3,1,Winter,0,10.60061711079944,114,6.254385964912281,66.30035087719298
91,2019-01-23,15.0,Blue Ribbon Taxi Association Inc.,2,1,4,1,Winter,0,12.539870689655173,97,4.783505154639175,59.98453608247423
92,2019-01-24,15.0,Blue Ribbon Taxi Association Inc.,3,1,1,1,Winter,0,10.923661971830985,78,5.461538461538462,59.66
93,2019-01-24,15.0,Blue Ribbon Taxi Association Inc.,3,1,2,1,Winter,0,10.49869822485207,82,4.121951219512195,43.27512195121951
94,2019-01-24,15.0,Blue Ribbon Taxi Association Inc.,3,1,3,1,Winter,0,10.815130023640664,122,6.934426229508197,74.99672131147541
95,2019-01-24,15.0,Blue Ribbon Taxi Association Inc.,3,1,4,1,Winter,0,13.069980694980694,108,4.796296296296297,62.6875
96,2019-01-25,15.0,Blue Ribbon Taxi Association Inc.,4,1,1,1,Winter,0,11.405835240274598,88,4.965909090909091,56.64034090909092
97,2019-01-25,30.0,Blue Ribbon Taxi Association Inc.,4,1,2,1,Winter,0,10.347826086956522,94,3.6702127659574466,37.97872340425532
98,2019-01-25,15.0,Blue Ribbon Taxi Association Inc.,4,1,3,1,Winter,0,11.22233902759527,120,6.341666666666667,71.16833333333334
99,2019-01-25,15.0,Blue Ribbon Taxi Association Inc.,4,1,4,1,Winter,0,11.239463601532567,106,4.9245283018867925,55.34905660377358
100,2019-01-26,30.0,Blue Ribbon Taxi Association Inc.,5,0,1,1,Winter,0,13.779761904761905,44,2.8636363636363638,39.46022727272727
101,2019-01-26,30.0,Blue Ribbon Taxi Association Inc.,5,0,2,1,Winter,0,11.139024390243902,58,3.5344827586206895,39.37068965517241
102,2019-01-26,30.0,Blue Ribbon Taxi Association Inc.,5,0,3,1,Winter,0,10.740470852017937,93,4.795698924731183,51.50806451612903
103,2019-01-26,15.0,Blue Ribbon Taxi Association Inc.,5,0,4,1,Winter,0,9.793203883495146,90,5.722222222222222,56.03888888888889
104,2019-01-27,30.0,Blue Ribbon Taxi Association Inc.,6,0,1,1,Winter,0,13.116129032258064,46,3.369565217391304,44.19565217391305
105,2019-01-27,30.0,Blue Ribbon Taxi Association Inc.,6,0,2,1,Winter,0,12.430272108843537,50,2.94,36.545
106,2019-01-27,30.0,Blue Ribbon Taxi Association Inc.,6,0,3,1,Winter,0,15.371841155234657,79,3.5063291139240507,53.89873417721519
107,2019-01-27,15.0,Blue Ribbon Taxi Association Inc.,6,0,4,1,Winter,0,11.365524625267666,78,5.987179487179487,68.04743589743589
108,2019-01-28,15.0,Blue Ribbon Taxi Association Inc.,0,1,1,1,Winter,0,10.842293577981652,65,5.030769230769231,54.54507692307693
109,2019-01-28,30.0,Blue Ribbon Taxi Association Inc.,0,1,2,1,Winter,0,10.124151785714286,69,3.246376811594203,32.8668115942029
110,2019-01-28,15.0,Blue Ribbon Taxi Association Inc.,0,1,3,1,Winter,0,10.28111888111888,103,5.553398058252427,57.095145631067965
111,2019-01-28,30.0,Blue Ribbon Taxi Association Inc.,0,1,4,1,Winter,0,12.324845679012345,83,3.9036144578313254,48.11144578313253
112,2019-01-29,15.0,Blue Ribbon Taxi Association Inc.,1,1,1,1,Winter,0,10.445768321513,78,5.423076923076923,56.64820512820512
113,2019-01-29,30.0,Blue Ribbon Taxi Association Inc.,1,1,2,1,Winter,0,10.661764705882353,87,3.1264367816091956,33.333333333333336
114,2019-01-29,15.0,Blue Ribbon Taxi Association Inc.,1,1,3,1,Winter,0,11.074158415841584,108,6.546296296296297,72.49472222222222
115,2019-01-29,45.0,Blue Ribbon Taxi Association Inc.,1,1,4,1,Winter,0,15.075757575757576,92,3.2282608695652173,48.66847826086956
116,2019-01-30,45.0,Blue Ribbon Taxi Association Inc.,2,1,1,1,Winter,0,12.583333333333334,35,3.085714285714286,38.82857142857143
117,2019-01-30,30.0,Blue Ribbon Taxi Association Inc.,2,1,2,1,Winter,0,15.307692307692308,31,2.5161290322580645,38.516129032258064
118,2019-01-30,15.0,Blue Ribbon Taxi Association Inc.,2,1,3,1,Winter,0,11.57233502538071,46,4.282608695652174,49.55978260869565
119,2019-01-30,45.0,Blue Ribbon Taxi Association Inc.,2,1,4,1,Winter,0,13.631465517241379,36,3.2222222222222223,43.923611111111114
120,2019-01-31,15.0,Blue Ribbon Taxi Association Inc.,3,1,1,1,Winter,0,10.284188034188034,44,5.318181818181818,54.69318181818182
121,2019-01-31,30.0,Blue Ribbon Taxi Association Inc.,3,1,2,1,Winter,0,13.167741935483871,55,2.8181818181818183,37.10909090909091
122,2019-01-31,30.0,Blue Ribbon Taxi Association Inc.,3,1,3,1,Winter,0,11.286904761904761,89,4.719101123595506,53.264044943820224
123,2019-01-31,30.0,Blue Ribbon Taxi Association Inc.,3,1,4,1,Winter,0,14.21606334841629,71,3.112676056338028,44.25
124,2019-02-01,15.0,Blue Ribbon Taxi Association Inc.,4,1,1,2,Winter,0,12.128253588516746,76,5.5,66.7053947368421
125,2019-02-01,15.0,Blue Ribbon Taxi Association Inc.,4,1,2,2,Winter,0,11.193009118541033,83,3.963855421686747,44.36746987951807
126,2019-02-01,15.0,Blue Ribbon Taxi Association Inc.,4,1,3,2,Winter,0,12.41205047318612,105,6.038095238095238,74.94514285714286
127,2019-02-01,30.0,Blue Ribbon Taxi Association Inc.,4,1,4,2,Winter,0,13.562206572769954,109,3.908256880733945,53.0045871559633
128,2019-02-02,30.0,Blue Ribbon Taxi Association Inc.,5,0,1,2,Winter,0,10.669117647058824,55,3.090909090909091,32.97727272727273
129,2019-02-02,30.0,Blue Ribbon Taxi Association Inc.,5,0,2,2,Winter,0,11.7,61,3.278688524590164,38.36065573770492
130,2019-02-02,30.0,Blue Ribbon Taxi Association Inc.,5,0,3,2,Winter,0,10.827261306532664,96,4.145833333333333,44.888020833333336
131,2019-02-02,15.0,Blue Ribbon Taxi Association Inc.,5,0,4,2,Winter,0,10.012969588550984,88,6.3522727272727275,63.60511363636363
132,2019-02-03,15.0,Blue Ribbon Taxi Association Inc.,6,0,1,2,Winter,0,11.720238095238095,40,3.15,36.91875
133,2019-02-03,45.0,Blue Ribbon Taxi Association Inc.,6,0,2,2,Winter,0,12.01590909090909,45,2.4444444444444446,29.372222222222224
134,2019-02-03,15.0,Blue Ribbon Taxi Association Inc.,6,0,3,2,Winter,0,13.895510835913313,84,3.8452380952380953,53.43154761904762
135,2019-02-03,15.0,Blue Ribbon Taxi Association Inc.,6,0,4,2,Winter,0,10.711409395973154,86,6.930232558139535,74.23255813953489
136,2019-02-04,15.0,Blue Ribbon Taxi Association Inc.,0,1,1,2,Winter,0,11.525071770334929,82,5.097560975609756,58.74975609756097
137,2019-02-04,30.0,Blue Ribbon Taxi Association Inc.,0,1,2,2,Winter,0,10.880546075085324,88,3.3295454545454546,36.22727272727273
138,2019-02-04,15.0,Blue Ribbon Taxi Association Inc.,0,1,3,2,Winter,0,11.105681159420293,116,5.948275862068965,66.0596551724138
139,2019-02-04,30.0,Blue Ribbon Taxi Association Inc.,0,1,4,2,Winter,0,12.261184210526316,95,4.0,49.044736842105266
140,2019-02-05,15.0,Blue Ribbon Taxi Association Inc.,1,1,1,2,Winter,0,10.7319794344473,81,4.802469135802469,51.54
141,2019-02-05,15.0,Blue Ribbon Taxi Association Inc.,1,1,2,2,Winter,0,10.530160857908847,90,4.144444444444445,43.641666666666666
142,2019-02-05,15.0,Blue Ribbon Taxi Association Inc.,1,1,3,2,Winter,0,10.331473684210527,113,6.725663716814159,69.48601769911504
143,2019-02-05,15.0,Blue Ribbon Taxi Association Inc.,1,1,4,2,Winter,0,10.611286919831224,96,4.9375,52.393229166666664
144,2019-02-06,15.0,Blue Ribbon Taxi Association Inc.,2,1,1,2,Winter,0,10.70703910614525,75,4.773333333333333,51.108266666666665
145,2019-02-06,30.0,Blue Ribbon Taxi Association Inc.,2,1,2,2,Winter,0,10.435693641618498,90,3.8444444444444446,40.11944444444445
146,2019-02-06,15.0,Blue Ribbon Taxi Association Inc.,2,1,3,2,Winter,0,11.061775223499362,119,6.579831932773109,72.78462184873949
