S/N,pickup_community_area,pickup_ca,dropoff_community_area,dropoff_ca,time_indicator,cal_day_desc,avg_trips,total_trips,average_time,average_km,average_fare
21191,16,IRVING PARK,73,WASHINGTON HEIGHTS,PM Period,Weekdays,0.034482759,4,129.0083333,41.300525,64.25
27941,23,HUMBOLDT PARK,43,SOUTH SHORE,PM Period,Weekend/Holidays,0.103448276,12,128.6791667,22.80565,41.55833333
17972,29,NORTH LAWNDALE,2,WEST RIDGE,AM Period,Weekdays,0.025862069,3,128.4888889,8.989166667,16.83333333
26800,29,NORTH LAWNDALE,43,SOUTH SHORE,Night,Weekdays,0.086206897,10,128.0116667,20.769,33.1
24640,1,ROGERS PARK,31,LOWER WEST SIDE,PM Period,Weekdays,0.060344828,7,127.2642857,15.5641,34.28571429
22611,69,GREATER GRAND CROSSING,37,FULLER PARK,Night,Weekend/Holidays,0.043103448,5,127.1733333,4.72696,10
11195,63,GAGE PARK,70,ASHBURN,PM Period,Weekend/Holidays,0.00862069,1,127,17.549,59
13245,16,IRVING PARK,52,EAST SIDE,PM Period,Weekdays,0.00862069,1,126.9333333,46.851,94.75
25068,58,BRIGHTON PARK,59,MCKINLEY PARK,Night,Weekdays,0.060344828,7,126.5261905,0.9338,10.29142857
26094,77,EDGEWATER,35,DOUGLAS,Night,Weekdays,0.077586207,9,126.2296296,14.90681111,25.97222222
25095,28,NEAR WEST SIDE,52,EAST SIDE,Night,Weekdays,0.060344828,7,126.0857143,24.2742,44.10714286
29296,12,FOREST GLEN,16,IRVING PARK,Night,Weekend/Holidays,0.129310345,15,124.5511111,6.550553333,15.31266667
30390,15,PORTAGE PARK,32,LOOP,Night,Weekdays,0.163793103,19,124.1421053,18.31078421,41.30210526
